Venosa comune,Venosa comune.1
,
Venosa – Veduta,Venosa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Francesco Mollica (Azione) dal 9-6-2024
Territorio,Territorio
Coordinate,40°58′N 15°49′E
Altitudine,415[1] m s.l.m.
Superficie,"170,39 km²"
Abitanti,10 567[2] (30-11-2025)
Densità,"62,02 ab./km²"
Comuni confinanti,"Barile, Ginestra, Lavello, Maschito, Montemilone, Palazzo San Gervasio, Rapolla, Spinazzola (BT)"
Altre informazioni,Altre informazioni
Cod. postale,85029
Prefisso,0972
Fuso orario,UTC+1
Codice ISTAT,076095
Cod. catastale,L738
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 663 GG[4]"
Nome abitanti,venosini
Patrono,san Felice di Thibiuca
Cartografia,Cartografia
Venosa,Venosa
Venosa – MappaPosizione del comune di Venosa all'interno della provincia di Potenza,Venosa – MappaPosizione del comune di Venosa all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
