Senise comune,Senise comune.1
,
Senise – Veduta,Senise – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Eleonora Castronuovo (lista civica Senise Responsabile) dal 26-5-2025
Territorio,Territorio
Coordinate,40°08′N 16°17′E
Altitudine,335 m s.l.m.
Superficie,"97,31 km²"
Abitanti,6 373[1] (30-11-2025)
Densità,"65,49 ab./km²"
Comuni confinanti,"Chiaromonte, Colobraro (MT), Noepoli, Roccanova, San Giorgio Lucano (MT), Sant'Arcangelo"
Altre informazioni,Altre informazioni
Cod. postale,85038
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076085
Cod. catastale,I610
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 518 GG[3]"
Nome abitanti,senisesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Senise,Senise
Senise – MappaPosizione del comune di Senise all'interno della provincia di Potenza,Senise – MappaPosizione del comune di Senise all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
