Castelluccio Superiore comune,Castelluccio Superiore comune.1
,
Castelluccio Superiore – Veduta,Castelluccio Superiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Francesco Limongi (lista civica Uniti per Crederci) dal 10-6-2024
Territorio,Territorio
Coordinate,40°01′N 15°59′E
Altitudine,680 m s.l.m.
Superficie,"32,98 km²"
Abitanti,706[1] (30-11-2025)
Densità,"21,41 ab./km²"
Comuni confinanti,"Castelluccio Inferiore, Laino Borgo (CS), Latronico, Lauria"
Altre informazioni,Altre informazioni
Cod. postale,85040
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076023
Cod. catastale,C201
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 273 GG[3]"
Nome abitanti,castelluccesi
Patrono,santa Margherita di Antiochia
Giorno festivo,20 luglio
Cartografia,Cartografia
Castelluccio Superiore,Castelluccio Superiore
Castelluccio Superiore – MappaPosizione del comune di Castelluccio Superiore all'interno della provincia di Potenza,Castelluccio Superiore – MappaPosizione del comune di Castelluccio Superiore all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
