Acerenza comune,Acerenza comune.1
,
Acerenza – Veduta,Acerenza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Fernando Teodoro Maria Scattone (lista civica) dal 1-6-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,40°48′N 15°57′E
Altitudine,833 m s.l.m.
Superficie,"77,64 km²"
Abitanti,2 005[1] (30-11-2025)
Densità,"25,82 ab./km²"
Comuni confinanti,"Cancellara, Forenza, Genzano di Lucania, Oppido Lucano, Palazzo San Gervasio, Pietragalla"
Altre informazioni,Altre informazioni
Cod. postale,85011
Prefisso,0971 74
Fuso orario,UTC+1
Codice ISTAT,076002
Cod. catastale,A020
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 270 GG[3]"
Nome abitanti,acheruntini (ufficiale); acerenzesi o cerenzesi (comune); cërnzèisə (dialetto)
Patrono,"san Canio, san Laviero, san Mariano[4]"
Giorno festivo,"25 maggio, 17 novembre, 30 aprile"
Cartografia,Cartografia
Acerenza,Acerenza
Acerenza – MappaPosizione del comune di Acerenza all'interno della provincia di Potenza,Acerenza – MappaPosizione del comune di Acerenza all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
