Albano di Lucania comune,Albano di Lucania comune.1
,
Albano di Lucania – Veduta,Albano di Lucania – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Bruno Santamaria (lista civica LiberaMente) dal 13-6-2022
Territorio,Territorio
Coordinate,40°35′N 16°02′E
Altitudine,899 m s.l.m.
Superficie,"55,87 km²"
Abitanti,1 276[1] (30-11-2025)
Densità,"22,84 ab./km²"
Comuni confinanti,"Brindisi Montagna, Calciano (MT), Campomaggiore, Castelmezzano, Pietrapertosa, San Chirico Nuovo, Tolve, Tricarico (MT), Trivigno, Vaglio Basilicata"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076003
Cod. catastale,A131
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 544 GG[3]"
Nome abitanti,albanesi
Patrono,san Vito di Lucania
Giorno festivo,15 giugno
Cartografia,Cartografia
Albano di Lucania,Albano di Lucania
Albano di Lucania – MappaPosizione del comune di Albano di Lucania all'interno della provincia di Potenza,Albano di Lucania – MappaPosizione del comune di Albano di Lucania all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
