Cersosimo comune,Cersosimo comune.1
,
Cersosimo – Veduta,Cersosimo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Domenica Paglia (lista civica Cersosimo Bene Comune) dal 22-9-2020
Territorio,Territorio
Coordinate,40°03′N 16°21′E
Altitudine,548 m s.l.m.
Superficie,"24,75 km²"
Abitanti,495[1] (30-11-2025)
Densità,20 ab./km²
Comuni confinanti,"Alessandria del Carretto (CS), Castroregio (CS), Noepoli, Oriolo (CS), San Giorgio Lucano (MT), San Paolo Albanese"
Altre informazioni,Altre informazioni
Cod. postale,85030
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076027
Cod. catastale,C539
Targa,PZ
Cl. climatica,"zona D, 1 905 GG[2]"
Nome abitanti,cersosimesi
Patrono,Maria di Costantinopoli
Giorno festivo,16 maggio
Cartografia,Cartografia
Cersosimo,Cersosimo
Cersosimo – MappaPosizione del comune di Cersosimo all'interno della provincia di Potenza,Cersosimo – MappaPosizione del comune di Cersosimo all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
