San Chirico Nuovo comune,San Chirico Nuovo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Rosa Baldassarre[1] (lista civica Nuovo San Chirico) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°41′N 16°05′E
Altitudine,745 m s.l.m.
Superficie,"23,39[2] km²"
Abitanti,1 076[3] (30-11-2025)
Densità,46 ab./km²
Comuni confinanti,"Albano di Lucania, Tolve, Tricarico (MT)"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076073
Cod. catastale,H795
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 134 GG[5]"
Nome abitanti,sanchirichesi
Patrono,san Rocco
Giorno festivo,22 agosto
Cartografia,Cartografia
San Chirico Nuovo,San Chirico Nuovo
San Chirico Nuovo – MappaPosizione del comune di San Chirico Nuovo all'interno della provincia di Potenza,San Chirico Nuovo – MappaPosizione del comune di San Chirico Nuovo all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
