Nemoli comune,Nemoli comune.1
,
Nemoli – VedutaIl lago Sirino,Nemoli – VedutaIl lago Sirino
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Domenico Carlomagno (lista civica Nemoli nel cuore) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°04′N 15°48′E
Altitudine,421 m s.l.m.
Superficie,"19,49 km²"
Abitanti,1 372[1] (30-11-2025)
Densità,"70,4 ab./km²"
Frazioni,"Lago Sirino,Varco Valle, Paccione, Ciliberti, Pianorizzo, Tempa Castagna, Isola del Bosco, Piane di Tonne, Concezione, Frassini, Giammichele, Capo lo Bosco, Fiumara, Ramiera, Ferriera, Arenazzo, Vallone, Quino, Quinardanza, Pié Le Rocche, Roccazzo"
Comuni confinanti,"Lagonegro, Lauria, Rivello, Trecchina"
Altre informazioni,Altre informazioni
Cod. postale,85040
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076054
Cod. catastale,F866
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 674 GG[3]"
Nome abitanti,nemolesi
Patrono,Madonna delle Grazie
Giorno festivo,2 luglio
Cartografia,Cartografia
Nemoli,Nemoli
Nemoli – MappaPosizione del comune di Nemoli all'interno della provincia di Potenza,Nemoli – MappaPosizione del comune di Nemoli all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
