San Fele comune,San Fele comune.1
,
San Fele – VedutaVeduta di San Fele,San Fele – VedutaVeduta di San Fele
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Donato Sperduto (lista civica di centro-sinistra) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°48′59.29″N 15°32′25.55″E
Altitudine,872 m s.l.m.
Superficie,"97,7 km²"
Abitanti,2 500[1] (30-11-2025)
Densità,"25,59 ab./km²"
Frazioni,"Agrifoglio, Armatieri, Cecci, Cerrito, Difesa, Masone, Montagna, Pierno, Priore, Signorella"
Comuni confinanti,"Atella, Bella, Castelgrande, Filiano, Muro Lucano, Rapone, Ruvo del Monte"
Altre informazioni,Altre informazioni
Cod. postale,85020
Prefisso,0976
Fuso orario,UTC+1
Codice ISTAT,076076
Cod. catastale,H831
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 495 GG[3]"
Nome abitanti,sanfelesi
Patrono,san Sebastiano[4]
Giorno festivo,20 gennaio[4]
Cartografia,Cartografia
San Fele,San Fele
San Fele – MappaPosizione del comune di San Fele all'interno della provincia di Potenza,San Fele – MappaPosizione del comune di San Fele all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
