Palazzo San Gervasio comune,Palazzo San Gervasio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Donato Cirone (lista civica Insieme si può) dal 13-6-2022
Territorio,Territorio
Coordinate,40°55′56″N 15°58′53″E
Altitudine,485 m s.l.m.
Superficie,"62,91 km²"
Abitanti,4 249[1] (30-11-2025)
Densità,"67,54 ab./km²"
Comuni confinanti,"Acerenza, Banzi, Forenza, Genzano di Lucania, Maschito, Spinazzola (BT), Venosa"
Altre informazioni,Altre informazioni
Cod. postale,85026
Prefisso,0972
Fuso orario,UTC+1
Codice ISTAT,076057
Cod. catastale,G261
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 924 GG[3]"
Nome abitanti,palazzesi
Patrono,sant'Antonio da Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Palazzo San Gervasio,Palazzo San Gervasio
Palazzo San Gervasio – MappaPosizione del comune di Palazzo San Gervasio all'interno della provincia di Potenza.,Palazzo San Gervasio – MappaPosizione del comune di Palazzo San Gervasio all'interno della provincia di Potenza.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
