Calvello comune,Calvello comune.1
,
Calvello – Veduta,Calvello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,"Anna Cantisani (lista civica ""Rinascere insieme"") dal 12-6-2022"
Territorio,Territorio
Coordinate,40°29′N 15°51′E
Altitudine,730 m s.l.m.
Superficie,"106,4[1] km²"
Abitanti,1 717[2] (30-11-2025)
Densità,"16,14 ab./km²"
Comuni confinanti,"Abriola, Anzi, Laurenzana, Marsico Nuovo, Marsicovetere, Viggiano"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076015
Cod. catastale,B440
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 237 GG[4]"
Nome abitanti,calvellesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Calvello,Calvello
Calvello – MappaPosizione del comune di Calvello all'interno della provincia di Potenza,Calvello – MappaPosizione del comune di Calvello all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
