Vaglio Basilicata comune,Vaglio Basilicata comune.1
,
Vaglio Basilicata – Veduta,Vaglio Basilicata – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Francesco Santopietro (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,40°40′30.53″N 15°53′45.82″E
Altitudine,954 m s.l.m.
Superficie,"43,36 km²"
Abitanti,1 758[1] (30-11-2025)
Densità,"40,54 ab./km²"
Comuni confinanti,"Albano di Lucania, Brindisi Montagna, Cancellara, Pietragalla, Potenza, Tolve, Tricarico (MT)"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076094
Cod. catastale,L532
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 644 GG[3]"
Nome abitanti,vagliesi
Patrono,san Faustino
Giorno festivo,terza domenica di maggio
Cartografia,Cartografia
Vaglio Basilicata,Vaglio Basilicata
Vaglio Basilicata – MappaPosizione del comune di Vaglio Basilicata all'interno della provincia di Potenza,Vaglio Basilicata – MappaPosizione del comune di Vaglio Basilicata all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
