Ruvo del Monte comune,Ruvo del Monte comune.1
,
Ruvo del Monte – Veduta,Ruvo del Monte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,"Pietro Mira (lista civica ""Ruvo possibile"") dal 15-5-2023"
Territorio,Territorio
Coordinate,40°50′50″N 15°32′24″E
Altitudine,638 m s.l.m.
Superficie,"32,62 km²"
Abitanti,940[1] (30-11-2025)
Densità,"28,82 ab./km²"
Frazioni,"Cerrutolo, Montagna Molara"
Comuni confinanti,"Atella, Calitri (AV), Rapone, San Fele"
Altre informazioni,Altre informazioni
Cod. postale,85020
Prefisso,0976
Fuso orario,UTC+1
Codice ISTAT,076072
Cod. catastale,H646
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 148 GG[3]"
Nome abitanti,ruvesi
Patrono,san Rocco e san Donato martire
Giorno festivo,18 agosto
Cartografia,Cartografia
Ruvo del Monte,Ruvo del Monte
Ruvo del Monte – MappaPosizione del comune di Ruvo del Monte all'interno della provincia di Potenza,Ruvo del Monte – MappaPosizione del comune di Ruvo del Monte all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
