Chiaromonte comune,Chiaromonte comune.1
,
Chiaromonte – Veduta,Chiaromonte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Valentina Viola (lista civica Chiaromonte rinasce) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°07′N 16°13′E
Altitudine,794 m s.l.m.
Superficie,"70,02 km²"
Abitanti,1 687[1] (30-11-2025)
Densità,"24,09 ab./km²"
Frazioni,"Armirosse, Battifarano, Bosco Magnano, Canocchielo-Pollino, Ponte, Cupolo, Grottole, Largo di Mezzo, Mancuoso, Pietrapica, Sagittario, Sammarella, San Pasquale, Sant'Uopo, Corice, Vertunno, Fiego, Ricolio, Cotura, Ischia, Ischitello, Don Fabio, Molioto, Pieschi, Savino, Valle Pastori, Foresta, Giardini del vescovo, Mainieri, Capricci, Poziello"
Comuni confinanti,"Castronuovo di Sant'Andrea, Episcopia,Francavilla in Sinni, Morano Calabro (CS), Noepoli, Roccanova, San Costantino Albanese, San Severino Lucano, Senise, Teana, Terranova di Pollino, Viggianello"
Altre informazioni,Altre informazioni
Cod. postale,85032
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076028
Cod. catastale,C619
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 226 GG[3]"
Nome abitanti,chiaromontesi
Patrono,san Giovanni Battista
Giorno festivo,"24 giugno, 29 agosto"
Cartografia,Cartografia
Chiaromonte,Chiaromonte
Chiaromonte – MappaPosizione del comune di Chiaromonte all'interno della provincia di Potenza,Chiaromonte – MappaPosizione del comune di Chiaromonte all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
