Castronuovo di Sant'Andrea comune,Castronuovo di Sant'Andrea comune.1
(dettagli),(dettagli)
Castronuovo di Sant'Andrea – Veduta,Castronuovo di Sant'Andrea – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Antonio Bulfaro (lista civica Insieme per il futuro) dall'8-5-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,40°11′N 16°11′E
Altitudine,650 m s.l.m.
Superficie,"47,45 km²"
Abitanti,828[1] (30-11-2025)
Densità,"17,45 ab./km²"
Comuni confinanti,"Calvera, Chiaromonte, Roccanova, San Chirico Raparo, Teana"
Altre informazioni,Altre informazioni
Cod. postale,85030
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076026
Cod. catastale,C345
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 091 GG[3]"
Nome abitanti,castronovesi
Patrono,sant'Andrea Avellino
Giorno festivo,3ª domenica di maggio-13 agosto-10 novembre[4]
Cartografia,Cartografia
Castronuovo di Sant'Andrea,Castronuovo di Sant'Andrea
Castronuovo di Sant'Andrea – MappaPosizione del comune di Castronuovo di Sant'Andrea all'interno della provincia di Potenza,Castronuovo di Sant'Andrea – MappaPosizione del comune di Castronuovo di Sant'Andrea all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
