Castelmezzano comune,Castelmezzano comune.1
,
Castelmezzano – VedutaVeduta,Castelmezzano – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Nicola Rocco Valluzzi (lista civica Continuiamo a volare) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°32′N 16°03′E
Altitudine,750[1] m s.l.m.
Superficie,"33,91 km²"
Abitanti,686[2] (30-11-2025)
Densità,"20,23 ab./km²"
Comuni confinanti,"Albano di Lucania, Anzi, Laurenzana, Pietrapertosa, Trivigno"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076024
Cod. catastale,C209
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 273 GG[4]"
Nome abitanti,castelmezzanesi
Patrono,San Rocco
Giorno festivo,18 e 19 agosto
Cartografia,Cartografia
Castelmezzano,Castelmezzano
Castelmezzano – MappaPosizione del comune di Castelmezzano all'interno della provincia di Potenza,Castelmezzano – MappaPosizione del comune di Castelmezzano all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
