Provincia di Potenza provincia,Provincia di Potenza provincia.1
,
"Provincia di Potenza – VedutaPalazzo della Provincia, attuale sede dell'amministrazione provinciale, 2017","Provincia di Potenza – VedutaPalazzo della Provincia, attuale sede dell'amministrazione provinciale, 2017"
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Amministrazione,Amministrazione
Capoluogo,Potenza
Presidente,Christian Giordano (centro-sinistra) dall'11-9-2022[1]
Data di istituzione,17 dicembre 1860
Territorio,Territorio
Coordinate del capoluogo,40°38′19″N 15°48′08″E
Superficie,"6 594,44 km²"
Abitanti,337 858[2] (30-11-2025)
Densità,"51,23 ab./km²"
Comuni,100 comuni
Province confinanti,"Avellino (Campania), Bari (Puglia), Barletta-Andria-Trani (Puglia), Cosenza (Calabria), Foggia (Puglia), Matera, Salerno (Campania)"
Altre informazioni,Altre informazioni
Cod. postale,85100 (Potenza) 85010 - 85059 (altri comuni)
Prefisso,"0971, 0972, 0973, 0975, 0976"
Fuso orario,UTC+1
ISO 3166-2,IT-PZ
Codice ISTAT,076
Targa,PZ
PIL,"(nominale) 9 205,95 mln €[3](2021)"
PIL procapite,(nominale) 26 331 €[3](2021)
Cartografia,Cartografia
Provincia di Potenza – Localizzazione,Provincia di Potenza – Localizzazione
Provincia di Potenza – MappaPosizione della provincia di Potenza all'interno della Basilicata,Provincia di Potenza – MappaPosizione della provincia di Potenza all'interno della Basilicata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
