Filiano comune,Filiano comune.1
,
Filiano – VedutaPalazzo Corbo a Iscalunga,Filiano – VedutaPalazzo Corbo a Iscalunga
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Francesco Santoro (lista civica) dal 1-6-2015 (2º mandato dal 21-9-2020)
Data di istituzione,10 marzo 1951
Territorio,Territorio
Coordinate,40°49′N 15°42′E
Altitudine,597 m s.l.m.
Superficie,"71,81 km²"
Abitanti,2 616[1] (30-11-2025)
Densità,"36,43 ab./km²"
Frazioni,"Cammarota, Capitunno, Carciuso, Carpini, Casone Perazzi, Don Ciccio, Dragonetti, Favale, Ferrara, Forcillo, Forenza Scalo, Ghiasti, Giannattasio, Gianturco, Grottone, Iazzi Vernili, Inforchia, Iscalunga, Latte, Lella, Letizia, Luponio, Macchia, Maio, Palladino, Pizzutella, Scalera, Sterpito di Sopra, Sterpito di Sotto, Tittarella, Vaccaro"
Comuni confinanti,"Atella, Avigliano, Forenza, Ripacandida, San Fele"
Altre informazioni,Altre informazioni
Cod. postale,85020
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076032
Cod. catastale,D593
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 995 GG[3]"
Nome abitanti,filianesi
Patrono,Maria SS. del Rosario
Giorno festivo,seconda domenica di agosto
Cartografia,Cartografia
Filiano,Filiano
Filiano – MappaPosizione del comune di Filiano all'interno della provincia di Potenza,Filiano – MappaPosizione del comune di Filiano all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
