Spinoso comune,Spinoso comune.1
,
Spinoso – Veduta,Spinoso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Pasquale De Luise (lista civica Spinoso in comune) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°16′N 15°58′E
Altitudine,649 m s.l.m.
Superficie,"38,18 km²"
Abitanti,1 265[1] (30-11-2025)
Densità,"33,13 ab./km²"
Comuni confinanti,"Castelsaraceno, Grumento Nova, Montemurro, San Chirico Raparo, San Martino d'Agri, Sarconi"
Altre informazioni,Altre informazioni
Cod. postale,85039
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076086
Cod. catastale,I917
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 089 GG[3]"
Nome abitanti,spinosesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Spinoso,Spinoso
Spinoso – MappaPosizione del comune di Spinoso all'interno della provincia di Potenza,Spinoso – MappaPosizione del comune di Spinoso all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
