Trivigno comune,Trivigno comune.1
,
Trivigno – Veduta,Trivigno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Marco Guarini (lista civica Nuova alba per Trivigno) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°35′N 15°59′E
Altitudine,725 m s.l.m.
Superficie,26 km²
Abitanti,596[1] (30-11-2025)
Densità,"22,92 ab./km²"
Comuni confinanti,"Albano di Lucania, Anzi, Brindisi Montagna, Castelmezzano"
Altre informazioni,Altre informazioni
Cod. postale,85018
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076093
Cod. catastale,L439
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 246 GG[3]"
Nome abitanti,trivignesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Trivigno,Trivigno
Trivigno – MappaPosizione del comune di Trivigno all'interno della provincia di Potenza,Trivigno – MappaPosizione del comune di Trivigno all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
