Vietri di Potenza comune,Vietri di Potenza comune.1
,
Vietri di Potenza – Veduta,Vietri di Potenza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Christian Giordano (lista civica Vietri nova) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°36′N 15°30′E
Altitudine,405 m s.l.m.
Superficie,"52,25[1] km²"
Abitanti,2 608[2] (30-11-2025)
Densità,"49,91 ab./km²"
Comuni confinanti,"Balvano, Caggiano (SA), Picerno, Romagnano al Monte (SA), Salvitelle (SA), Savoia di Lucania"
Altre informazioni,Altre informazioni
Cod. postale,85058
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076096
Cod. catastale,L859
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 645 GG[4]"
Nome abitanti,vietresi
Patrono,sant'Anselmo martire
Giorno festivo,1ª domenica di maggio e 2ª domenica di luglio
Cartografia,Cartografia
Vietri di Potenza,Vietri di Potenza
Vietri di Potenza – MappaPosizione del comune di Vietri di Potenza all'interno della provincia di Potenza,Vietri di Potenza – MappaPosizione del comune di Vietri di Potenza all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
