Ripacandida comune,Ripacandida comune.1
,
Ripacandida – Veduta,Ripacandida – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Michele Donato Chiarito (lista civica Impegno comune) dal 15-5-2023
Data di istituzione,1150[1]
Territorio,Territorio
Coordinate,40°54′46″N 15°43′32″E
Altitudine,620 m s.l.m.
Superficie,"33,49 km²"
Abitanti,1 530[2] (30-11-2025)
Densità,"45,69 ab./km²"
Frazioni,"Cappa Bianca, Frascolla, Piano della Spina, Serra San Francesco, Solagna della Noce"
Comuni confinanti,"Atella, Barile, Filiano, Forenza, Ginestra, Rionero in Vulture"
Altre informazioni,Altre informazioni
Cod. postale,85020
Prefisso,0972
Fuso orario,UTC+1
Codice ISTAT,076067
Cod. catastale,H312
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 2 036 GG[4]"
Nome abitanti,ripacandidesi
Patrono,san Donato e san Donatello
Giorno festivo,7 e 17 agosto
Cartografia,Cartografia
Ripacandida,Ripacandida
Ripacandida – MappaPosizione del comune di Ripacandida all'interno della provincia di Potenza,Ripacandida – MappaPosizione del comune di Ripacandida all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
