Sarconi comune,Sarconi comune.1
,
Sarconi – VedutaPanorama,Sarconi – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Antonella Zambrino (lista civica SìAmo Sarconi) dal 3-9-2025
Territorio,Territorio
Coordinate,40°13′22.94″N 15°54′35.22″E
Altitudine,636 m s.l.m.
Superficie,"30,69 km²"
Abitanti,1 423[1] (30-11-2025)
Densità,"46,37 ab./km²"
Comuni confinanti,"Castelsaraceno, Grumento Nova, Moliterno, Spinoso"
Altre informazioni,Altre informazioni
Cod. postale,85040
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,076081
Cod. catastale,I426
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 066 GG[3]"
Nome abitanti,sarconesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Sarconi,Sarconi
Sarconi – MappaPosizione del comune di Sarconi all'interno della provincia di Potenza,Sarconi – MappaPosizione del comune di Sarconi all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
