Oppido Lucano comune,Oppido Lucano comune.1
,
Oppido Lucano – VedutaPanoramica di Oppido Lucano,Oppido Lucano – VedutaPanoramica di Oppido Lucano
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Mirco Evangelista (lista civica Oppido futura) dal 5-10-2021
Territorio,Territorio
Coordinate,40°46′N 15°59′E
Altitudine,670 m s.l.m.
Superficie,"54,88 km²"
Abitanti,3 470[1] (30-11-2025)
Densità,"63,23 ab./km²"
Comuni confinanti,"Acerenza, Cancellara, Genzano di Lucania, Irsina (MT), Tolve"
Altre informazioni,Altre informazioni
Cod. postale,85015
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076056
Cod. catastale,G081
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 127 GG[3]"
Nome abitanti,oppidesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Oppido Lucano,Oppido Lucano
Oppido Lucano – MappaPosizione del comune di Oppido Lucano all'interno della provincia di Potenza,Oppido Lucano – MappaPosizione del comune di Oppido Lucano all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
