Banzi comune,Banzi comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Pasquale Caffio (lista civica Uniti per Banzi) dal 10-6-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°52′N 16°01′E
Altitudine,571 m s.l.m.
Superficie,"83,06 km²"
Abitanti,1 135[1] (30-11-2025)
Densità,"13,66 ab./km²"
Comuni confinanti,"Genzano di Lucania, Palazzo San Gervasio, Spinazzola (BT)"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076009
Cod. catastale,A612
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 056 GG[3]"
Nome abitanti,"banzesi, bantini"
Patrono,san Vito Martire
Giorno festivo,15 giugno
Cartografia,Cartografia
Banzi,Banzi
Banzi – MappaPosizione del comune di Banzi all'interno della provincia di Potenza,Banzi – MappaPosizione del comune di Banzi all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
