Terranova di Pollino comune,Terranova di Pollino comune.1
,
Terranova di Pollino – Veduta,Terranova di Pollino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Franco Mazzia (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,39°59′N 16°18′E
Altitudine,926 m s.l.m.
Superficie,"113,07 km²"
Abitanti,954[1] (30-11-2025)
Densità,"8,44 ab./km²"
Frazioni,"Casa Del Conte, Destra Delle Donne, San Migalio, Vena Della Ricotta"
Comuni confinanti,"Alessandria del Carretto (CS), Castrovillari (CS), Cerchiara di Calabria (CS), Chiaromonte, Francavilla in Sinni, San Costantino Albanese, San Lorenzo Bellizzi (CS), San Paolo Albanese, San Severino Lucano"
Altre informazioni,Altre informazioni
Cod. postale,85030
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076088
Cod. catastale,L126
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 593 GG[3]"
Nome abitanti,terranovesi
Patrono,san Francesco di Paola
Giorno festivo,2 aprile
Cartografia,Cartografia
Terranova di Pollino,Terranova di Pollino
Terranova di Pollino – MappaPosizione del comune di Terranova di Pollino all'interno della provincia di Potenza,Terranova di Pollino – MappaPosizione del comune di Terranova di Pollino all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
