Brienza comune,Brienza comune.1
,
Brienza – VedutaScorcio dell'abitato,Brienza – VedutaScorcio dell'abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Raffaele Collazzo (lista civica Un’altra Brienza) dal 10-06-2024
Territorio,Territorio
Coordinate,40°28′43″N 15°37′48″E
Altitudine,713 m s.l.m.
Superficie,"82,94[1] km²"
Abitanti,3 835[2] (30-11-2025)
Densità,"46,24 ab./km²"
Frazioni,"Acqua dei Salici, Braide I, Braide II, Cesinale, Chiuse, Monte I, Monte II, Pozzi, Schiavi, Taverne, Visciglieta"
Comuni confinanti,"Atena Lucana (SA), Marsico Nuovo, Polla (SA), Sala Consilina (SA), Sant'Angelo Le Fratte, Sasso di Castalda, Satriano di Lucania"
Altre informazioni,Altre informazioni
Cod. postale,85050
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,076013
Cod. catastale,B173
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 206 GG[4]"
Nome abitanti,burgentini
Patrono,san Cataldo - S.S. Crocifisso - Madonna Addolorata
Giorno festivo,10 maggio - 1ª domenica di maggio - 3ª domenica di settembre
Cartografia,Cartografia
Brienza,Brienza
Brienza – MappaPosizione del comune di Brienza all'interno della provincia di Potenza,Brienza – MappaPosizione del comune di Brienza all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
