Potenza comune,Potenza comune.1
,
Potenza – VedutaVeduta notturna di Potenza,Potenza – VedutaVeduta notturna di Potenza
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Vincenzo Telesca (indipendente di centro-sinistra) dal 10-7-2024
Territorio,Territorio
Coordinate,40°38′N 15°48′E
Altitudine,819 m s.l.m.
Superficie,"175,43[1] km²"
Abitanti,63 459[2] (30-11-2025)
Densità,"361,73 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Anzi, Avigliano, Brindisi Montagna, Picerno, Pietragalla, Pignola, Ruoti, Tito, Vaglio Basilicata"
Altre informazioni,Altre informazioni
Cod. postale,85100
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076063
Cod. catastale,G942
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 472 GG[4]"
Nome abitanti,potentini
Patrono,san Gerardo di Potenza
Giorno festivo,30 maggio
Soprannome,città verticale città delle cento scale città delle scale
Cartografia,Cartografia
Potenza,Potenza
Potenza – MappaPosizione del comune di Potenza all'interno dell'omonima provincia,Potenza – MappaPosizione del comune di Potenza all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
