Savoia di Lucania comune,Savoia di Lucania comune.1
,
Savoia di Lucania – Veduta,Savoia di Lucania – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,
Amministrazione,Amministrazione
Sindaco,Rocco Mastroberti (lista civica Nuova visione) dal 10-6-2024
Territorio,Territorio
Coordinate,40°34′N 15°33′E
Altitudine,720 m s.l.m.
Superficie,"32,84[1] km²"
Abitanti,964[2] (30-11-2025)
Densità,"29,35 ab./km²"
Frazioni,"Castellaro, Fossati, Perolla"
Comuni confinanti,"Caggiano (SA), Picerno, Sant'Angelo Le Fratte, Satriano di Lucania, Tito, Vietri di Potenza"
Altre informazioni,Altre informazioni
Cod. postale,85050
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076084
Cod. catastale,H730
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 402 GG[4]"
Nome abitanti,salviani
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Savoia di Lucania,Savoia di Lucania
Savoia di Lucania – MappaPosizione del comune di Savoia di Lucania all'interno della provincia di Potenza,Savoia di Lucania – MappaPosizione del comune di Savoia di Lucania all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
