Corleto Perticara comune,Corleto Perticara comune.1
,
Corleto Perticara – VedutaPanorama,Corleto Perticara – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Mario Montano (lista civica Corleto nel cuore) dal 22-9-2020
Territorio,Territorio
Coordinate,40°23′N 16°03′E
Altitudine,757 m s.l.m.
Superficie,"89,34 km²"
Abitanti,2 294[1] (30-11-2025)
Densità,"25,68 ab./km²"
Comuni confinanti,"Armento, Gorgoglione (MT), Guardia Perticara, Laurenzana, Montemurro, Pietrapertosa, Viggiano"
Altre informazioni,Altre informazioni
Cod. postale,85012
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076029
Cod. catastale,D010
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 242 GG[3]"
Nome abitanti,corletani
Patrono,Maria Assunta e san Rocco
Giorno festivo,15 e 16 agosto
Cartografia,Cartografia
Corleto Perticara,Corleto Perticara
Corleto Perticara – MappaPosizione del comune di Corleto Perticara all'interno della provincia di Potenza,Corleto Perticara – MappaPosizione del comune di Corleto Perticara all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
