Sant'Angelo Le Fratte comune,Sant'Angelo Le Fratte comune.1
,
Sant'Angelo Le Fratte – VedutaScorcio e murales,Sant'Angelo Le Fratte – VedutaScorcio e murales
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Vincenzo Ostuni (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,40°32′49″N 15°33′27″E
Altitudine,560 m s.l.m.
Superficie,"23,1[1] km²"
Abitanti,1 299[2] (30-11-2025)
Densità,"56,23 ab./km²"
Frazioni,"Farisi, Isca, Santa Maria Fellana, San Vito, Fratte"
Comuni confinanti,"Brienza, Sasso di Castalda Polla (SA), Satriano di Lucania, Savoia di Lucania, Tito"
Altre informazioni,Altre informazioni
Cod. postale,85050
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,076079
Cod. catastale,I288
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 927 GG[4]"
Nome abitanti,santangiolesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Sant'Angelo Le Fratte,Sant'Angelo Le Fratte
Sant'Angelo Le Fratte – MappaPosizione del comune di Sant'Angelo Le Fratte all'interno della provincia di Potenza,Sant'Angelo Le Fratte – MappaPosizione del comune di Sant'Angelo Le Fratte all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
