Anzi comune,Anzi comune.1
,
Anzi – Veduta,Anzi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Maria Filomena Graziadei (lista civica In campo per Anzi) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°31′N 15°55′E
Altitudine,1 008 m s.l.m.
Superficie,"77,1 km²"
Abitanti,1 449[1] (30-11-2025)
Densità,"18,79 ab./km²"
Comuni confinanti,"Abriola, Brindisi Montagna, Calvello, Castelmezzano, Laurenzana, Pignola, Potenza, Trivigno"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076004
Cod. catastale,A321
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 739 GG[3]"
Nome abitanti,anzesi
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Anzi,Anzi
Anzi – MappaPosizione del comune di Anzi all'interno della provincia di Potenza,Anzi – MappaPosizione del comune di Anzi all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
