Armento comune,Armento comune.1
,
Armento – Veduta,Armento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Luca Antonio Manieri (lista civica Alternativa e trasparenza) dal 9-6-2024
Territorio,Territorio
Coordinate,40°18′N 16°04′E
Altitudine,710 m s.l.m.
Superficie,"58,98 km²"
Abitanti,536[1] (30-11-2025)
Densità,"9,09 ab./km²"
Comuni confinanti,"Corleto Perticara, Gallicchio, Guardia Perticara, Montemurro, San Chirico Raparo, San Martino d'Agri"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076005
Cod. catastale,A415
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 156 GG[3]"
Nome abitanti,armentesi
Patrono,san Filippo Neri
Cartografia,Cartografia
Armento,Armento
Armento – MappaPosizione del comune di Armento all'interno della provincia di Potenza,Armento – MappaPosizione del comune di Armento all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
