Balvano comune,Balvano comune.1
,
Balvano – Veduta,Balvano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Ezio Di Carlo (lista civica Rivivere) dal 5-10-2021
Territorio,Territorio
Coordinate,40°39′N 15°31′E
Altitudine,425 m s.l.m.
Superficie,"42,15 km²"
Abitanti,1 653[1] (30-11-2025)
Densità,"39,22 ab./km²"
Comuni confinanti,"Baragiano, Bella, Muro Lucano, Picerno, Ricigliano (SA), Romagnano al Monte (SA), Vietri di Potenza"
Altre informazioni,Altre informazioni
Cod. postale,85050
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076008
Cod. catastale,A604
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 682 GG[3]"
Nome abitanti,balvanesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Balvano,Balvano
Balvano – MappaPosizione del comune di Balvano all'interno della provincia di Potenza,Balvano – MappaPosizione del comune di Balvano all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
