San Paolo Albanese comune,San Paolo Albanese comune.1
,
San Paolo Albanese – Veduta,San Paolo Albanese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Mosè Antonio Troiano (lista civica Comunità unita) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°02′N 16°20′E
Altitudine,800 m s.l.m.
Superficie,"30,22 km²"
Abitanti,197[1] (30-11-2025)
Densità,"6,52 ab./km²"
Comuni confinanti,"Alessandria del Carretto (CS), Cersosimo, Noepoli, San Costantino Albanese, Terranova di Pollino"
Altre informazioni,Altre informazioni
Cod. postale,85030
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076020
Cod. catastale,B906
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 364 GG[3]"
Nome abitanti,sanpaolesi / i Shën Palit
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
San Paolo Albanese,San Paolo Albanese
San Paolo Albanese – MappaPosizione del comune di San Paolo Albanese all'interno della provincia di Potenza,San Paolo Albanese – MappaPosizione del comune di San Paolo Albanese all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
