Rionero in Vulture comune,Rionero in Vulture comune.1
(dettagli),(dettagli)
Rionero in Vulture – VedutaRionero con il monte Vulture sullo sfondo,Rionero in Vulture – VedutaRionero con il monte Vulture sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Mario Di Nitto (centro-sinistra) dal 5-10-2021
Data di istituzione,4 maggio 1811
Territorio,Territorio
Coordinate,40°55′N 15°40′E
Altitudine,656 m s.l.m.
Superficie,"53,52 km²"
Abitanti,12 335[1] (30-11-2025)
Densità,"230,47 ab./km²"
Frazioni,"Monticchio Bagni, Monticchio Sgarroni[2]"
Comuni confinanti,"Aquilonia (AV), Atella, Barile, Calitri (AV), Melfi, Rapolla, Ripacandida"
Altre informazioni,Altre informazioni
Cod. postale,85028
Prefisso,0972
Fuso orario,UTC+1
Codice ISTAT,076066
Cod. catastale,H307
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 144 GG[4]"
Nome abitanti,rioneresi
Patrono,"San Marco, Madonna del Carmelo"
Giorno festivo,25 aprile
Cartografia,Cartografia
Rionero in Vulture,Rionero in Vulture
Rionero in Vulture – MappaPosizione del comune di Rionero in Vulture all'interno della provincia di Potenza,Rionero in Vulture – MappaPosizione del comune di Rionero in Vulture all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
