Viggianello comune,Viggianello comune.1
,
Viggianello – Veduta,Viggianello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Antonio Rizzo (lista civica Avanti insieme) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,39°58′N 16°05′E
Altitudine,500 m s.l.m.
Superficie,"120,83 km²"
Abitanti,2 581[1] (30-11-2025)
Densità,"21,36 ab./km²"
Frazioni,"Muscello, Pedali, Prastio, San Cataldo-Pantana, Santo Ianni, Scarpaleggia-Ceruzzo, Torno[2]"
Comuni confinanti,"Castelluccio Inferiore, Chiaromonte, Fardella, Laino Borgo (CS), Morano Calabro (CS), Rotonda, San Severino Lucano."
Altre informazioni,Altre informazioni
Cod. postale,85040
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076097
Cod. catastale,L873
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 818 GG[4]"
Nome abitanti,viggianellesi
Patrono,"san Francesco da Paola, santa Caterina d'Alessandria"
Giorno festivo,"ultima domenica di agosto, 25 novembre"
Cartografia,Cartografia
Viggianello,Viggianello
Viggianello – MappaPosizione del comune di Viggianello all'interno della provincia di Potenza,Viggianello – MappaPosizione del comune di Viggianello all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
