Roccanova comune,Roccanova comune.1
,
Roccanova – Veduta,Roccanova – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Rocco Greco (Insieme per Roccanova) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°13′N 16°12′E
Altitudine,648 m s.l.m.
Superficie,"61,74 km²"
Abitanti,1 236[1] (30-11-2025)
Densità,"20,02 ab./km²"
Comuni confinanti,"Aliano (MT), Castronuovo di Sant'Andrea, Chiaromonte, Gallicchio, Missanello, San Chirico Raparo, Sant'Arcangelo, Senise"
Altre informazioni,Altre informazioni
Cod. postale,85036
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076069
Cod. catastale,H426
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 087 GG[3]"
Nome abitanti,roccanovesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Roccanova,Roccanova
Roccanova – MappaPosizione del comune di Roccanova all'interno della provincia di Potenza,Roccanova – MappaPosizione del comune di Roccanova all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
