San Chirico Raparo comune,San Chirico Raparo comune.1
,
San Chirico Raparo – Veduta,San Chirico Raparo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Vincenzo Cirigliano (lista civica Il nostro paese il nostro futuro) dal 5-10-2021
Territorio,Territorio
Coordinate,40°11′26.59″N 16°04′34.86″E
Altitudine,780 m s.l.m.
Superficie,"84,07 km²"
Abitanti,866[1] (30-11-2025)
Densità,"10,3 ab./km²"
Comuni confinanti,"Armento, Calvera, Carbone, Castelsaraceno, Castronuovo di Sant'Andrea, Gallicchio, Roccanova, San Martino d'Agri, Spinoso"
Altre informazioni,Altre informazioni
Cod. postale,85030
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076074
Cod. catastale,H796
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 201 GG[3]"
Nome abitanti,sanchirichesi
Patrono,"san Chirico Martire, santa Sinforosa"
Giorno festivo,1° agosto
Cartografia,Cartografia
San Chirico Raparo,San Chirico Raparo
San Chirico Raparo – MappaPosizione del comune di San Chirico Raparo all'interno della provincia di Potenza,San Chirico Raparo – MappaPosizione del comune di San Chirico Raparo all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
