Ginestra comune,Ginestra comune.1
,
"Ginestra – VedutaGinestra sullo sfondo, vista da Ripacandida","Ginestra – VedutaGinestra sullo sfondo, vista da Ripacandida"
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Fiorella Pompa (lista civica Uniti per Ginestra) dal 6-6-2016 (2º mandato dal 5-10-2021)
Data di istituzione,de iure: 5 luglio 1965[1][2] de facto: 4 agosto 1965[1][3]
Territorio,Territorio
Coordinate,40°56′N 15°44′E
Altitudine,564 m s.l.m.
Superficie,"13,32 km²"
Abitanti,654[4] (30-11-2025)
Densità,"49,1 ab./km²"
Comuni confinanti,"Barile, Forenza, Maschito, Ripacandida, Venosa"
Altre informazioni,Altre informazioni
Cod. postale,85020
Prefisso,0972
Fuso orario,UTC+1
Codice ISTAT,076099
Cod. catastale,E033
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[5]
Cl. climatica,"zona D, 1 956 GG[6]"
Nome abitanti,ginestrini (ufficiale) ginestrali (comune) zhurjanë (in arbëreshë) sc'nëstralə (in dialetto)
Patrono,Nostra Signora di Costantinopoli
Cartografia,Cartografia
Ginestra,Ginestra
Ginestra – MappaPosizione del comune di Ginestra all'interno della provincia di Potenza,Ginestra – MappaPosizione del comune di Ginestra all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
