Marsico Nuovo comune,Marsico Nuovo comune.1
,
Marsico Nuovo – VedutaPanorama dalla catena della Maddalena,Marsico Nuovo – VedutaPanorama dalla catena della Maddalena
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Massimo Macchia (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,40°25′N 15°44′E
Altitudine,865 m s.l.m.
Superficie,"100,97 km²"
Abitanti,3 691[1] (30-11-2025)
Densità,"36,56 ab./km²"
Frazioni,"Galaino, Pergola"
Comuni confinanti,"Abriola, Brienza, Calvello, Marsicovetere, Padula (SA), Paterno, Sala Consilina (SA), Sasso di Castalda"
Altre informazioni,Altre informazioni
Cod. postale,85052
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,076045
Cod. catastale,E976
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 482 GG[3]"
Nome abitanti,marsicani
Patrono,san Gianuaro
Giorno festivo,26 agosto[4]
Motto,F.et.A. Fidelis et Amans (stemma)
Cartografia,Cartografia
Marsico Nuovo,Marsico Nuovo
Marsico Nuovo – MappaPosizione del comune di Marsico Nuovo all'interno della provincia di Potenza,Marsico Nuovo – MappaPosizione del comune di Marsico Nuovo all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
