Barile comune,Barile comune.1
,
Barile – Veduta,Barile – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Antonio Murano (PD) dal 25-5-2014 (3º mandato dall'8-6-2024)
Territorio,Territorio
Coordinate,40°57′N 15°40′E
Altitudine,664 m s.l.m.
Superficie,"24,13 km²"
Abitanti,2 492[1] (30-11-2025)
Densità,"103,27 ab./km²"
Comuni confinanti,"Ginestra, Rapolla, Rionero in Vulture, Ripacandida, Venosa"
Altre informazioni,Altre informazioni
Cod. postale,85022
Prefisso,0972
Fuso orario,UTC+1
Codice ISTAT,076011
Cod. catastale,A666
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 079 GG[3]"
Nome abitanti,barilesi (ufficiale) barliotti o barilotti (comune) barliotë (in arbëreshë) bargliòttə (in dialetto)
Patrono,Madonna di Costantinopoli
Giorno festivo,martedì dopo la Pentecoste
Cartografia,Cartografia
Barile,Barile
Barile – MappaPosizione del comune di Barile all'interno della provincia di Potenza,Barile – MappaPosizione del comune di Barile all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
