Pignola comune,Pignola comune.1
,
Pignola – Veduta,Pignola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Antonio De Luca[1] (lista civica) dal 16-5-2023
Lingue ufficiali,italiano
Data di istituzione,1935
Territorio,Territorio
Coordinate,40°34′N 15°47′E
Altitudine,927 m s.l.m.
Superficie,"56,24[2] km²"
Acque interne,"1,55 km² (2,76%)"
Abitanti,6 757[3] (30-11-2025)
Densità,"120,15 ab./km²"
Frazioni,"Campo di Giorgio, Molino di Capo, Molino di Piede, Pantano, Petrucco, Piancardillo, Ponte Mallardi, Pozzillo, Rifreddo, Sciffra, Serra San Marco, Tora, Tuorno."
Comuni confinanti,"Abriola, Anzi, Potenza, Tito"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
ISO 3166-2,IT-PZ
Codice ISTAT,076062
Cod. catastale,G663
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona E, 2 593 GG[5]"
Nome abitanti,pignolesi
Patrono,Maria Santissima degli Angeli
Giorno festivo,dal terzo sabato alla quarta domenica di maggio
Motto,Pinea sum dicta et dicor a nomine fortis
Cartografia,Cartografia
Pignola,Pignola
Pignola – MappaPosizione del comune di Pignola all'interno della provincia di Potenza,Pignola – MappaPosizione del comune di Pignola all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
