Tolve comune,Tolve comune.1
,
Tolve – VedutaVeduta,Tolve – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Renato Martucci (lista civica Tolve in Grande) dal 26-5-2025
Territorio,Territorio
Coordinate,40°42′N 16°01′E
Altitudine,568 m s.l.m.
Superficie,"128,69[1] km²"
Abitanti,2 852[2] (30-11-2025)
Densità,"22,16 ab./km²"
Comuni confinanti,"Albano di Lucania, Cancellara, Irsina (MT), Oppido Lucano, San Chirico Nuovo, Tricarico (MT), Vaglio Basilicata"
Altre informazioni,Altre informazioni
Cod. postale,85017
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076090
Cod. catastale,L197
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 945 GG[4]"
Nome abitanti,Tolvesi
Patrono,san Rocco
Giorno festivo,16 agosto - 16 settembre
Cartografia,Cartografia
Tolve,Tolve
Tolve – MappaPosizione del comune di Tolve all'interno della provincia di Potenza,Tolve – MappaPosizione del comune di Tolve all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
