Rapolla comune,Rapolla comune.1
,
Rapolla – Veduta,Rapolla – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Biagio Cristofaro (PSI) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°59′19.21″N 15°41′45.18″E
Altitudine,450 m s.l.m.
Superficie,"29,87 km²"
Abitanti,4 078[1] (30-11-2025)
Densità,"136,52 ab./km²"
Comuni confinanti,"Barile, Lavello, Melfi, Rionero in Vulture, Venosa"
Altre informazioni,Altre informazioni
Cod. postale,85027
Prefisso,0972
Fuso orario,UTC+1
Codice ISTAT,076064
Cod. catastale,H186
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 676 GG[3]"
Nome abitanti,rapollesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Rapolla,Rapolla
Rapolla – MappaPosizione del comune di Rapolla all'interno della provincia di Potenza,Rapolla – MappaPosizione del comune di Rapolla all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
