Ruoti comune,Ruoti comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Franco Gentilesca (lista civica Ruoti 2022) dal 12-6-2022
Territorio,Territorio
Coordinate,40°43′N 15°41′E
Altitudine,751 m s.l.m.
Superficie,"55,45 km²"
Abitanti,3 170[1] (30-11-2025)
Densità,"57,17 ab./km²"
Frazioni,"Acqua Bianca, Avriola, Bosco Grande, Caivano, Campestre, Cesine, Croce, Faggeta, Incasciaturo, Micele, San Giovanni, Serra Di Pepe, Toppo Di Scioscio, Valle Dell'Olmo, Valle In Casa"
Comuni confinanti,"Avigliano, Baragiano, Bella, Picerno, Potenza"
Altre informazioni,Altre informazioni
Cod. postale,85056
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076071
Cod. catastale,H641
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 275 GG[3]"
Nome abitanti,ruotesi
Patrono,san Rocco
Giorno festivo,"16 agosto, 1ª domenica di settembre"
Cartografia,Cartografia
Ruoti,Ruoti
Ruoti – MappaPosizione del comune di Ruoti all'interno della provincia di Potenza,Ruoti – MappaPosizione del comune di Ruoti all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
