Guardia Perticara comune,Guardia Perticara comune.1
,
Guardia Perticara – Veduta,Guardia Perticara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Pasquale Montano (lista civica Guardiavanti) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°22′N 16°06′E
Altitudine,750 m s.l.m.
Superficie,"53,68 km²"
Abitanti,505[1] (30-11-2025)
Densità,"9,41 ab./km²"
Comuni confinanti,"Armento, Corleto Perticara, Gallicchio, Gorgoglione (MT), Missanello"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076038
Cod. catastale,E246
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 273 GG[3]"
Nome abitanti,guardiesi
Patrono,San Niccolò Magno
Giorno festivo,9 maggio
Cartografia,Cartografia
Guardia Perticara,Guardia Perticara
Guardia Perticara – MappaPosizione del comune di Guardia Perticara all'interno della provincia di Potenza,Guardia Perticara – MappaPosizione del comune di Guardia Perticara all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
