Rotonda comune,Rotonda comune.1
,
Rotonda – VedutaCentro Storico,Rotonda – VedutaCentro Storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Rocco Bruno (lista civica Uniti per Rotonda) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,39°57′15.39″N 16°02′23.15″E
Altitudine,580 m s.l.m.
Superficie,"42,92 km²"
Abitanti,3 104[1] (30-11-2025)
Densità,"72,32 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Laino Borgo (CS), Laino Castello (CS), Morano Calabro (CS), Mormanno (CS), Viggianello"
Altre informazioni,Altre informazioni
Cod. postale,85048
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076070
Cod. catastale,H590
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 113 GG[3]"
Nome abitanti,Rotondesi (Rutunnari)
Patrono,sant'Antonio di Padova e Madonna della Consolazione
Giorno festivo,dall'8 giugno - al 13 giugno e 18 agosto
Cartografia,Cartografia
Rotonda,Rotonda
Rotonda – MappaPosizione del comune di Rotonda all'interno della provincia di Potenza,Rotonda – MappaPosizione del comune di Rotonda all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
