Rapone comune,Rapone comune.1
,
Rapone – VedutaRapone ed il Monte Vulture sullo sfondo,Rapone – VedutaRapone ed il Monte Vulture sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Felicetta Lorenzo (lista civica Uniamo Rapone) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°51′N 15°30′E
Altitudine,838 m s.l.m.
Superficie,"29,51 km²"
Abitanti,823[1] (30-11-2025)
Densità,"27,89 ab./km²"
Frazioni,"Mazzapone, Forestella, Pediglione, Piano la Corte"
Comuni confinanti,"Calitri (AV), Castelgrande, Pescopagano, Ruvo del Monte, San Fele"
Altre informazioni,Altre informazioni
Cod. postale,85020
Prefisso,0976
Fuso orario,UTC+1
Codice ISTAT,076065
Cod. catastale,H187
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 433 GG[3]"
Nome abitanti,raponesi
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Rapone,Rapone
Rapone – MappaPosizione del comune di Rapone all'interno della provincia di Potenza,Rapone – MappaPosizione del comune di Rapone all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
