Sant'Arcangelo comune,Sant'Arcangelo comune.1
,
Sant'Arcangelo – Veduta,Sant'Arcangelo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Salvatore La Grotta (lista civica Civicamente insieme) dal 22-9-2020
Territorio,Territorio
Coordinate,40°14′54.67″N 16°16′13.66″E
Altitudine,388 m s.l.m.
Superficie,"89,1 km²"
Abitanti,5 926[1] (30-11-2025)
Densità,"66,51 ab./km²"
Frazioni,San Brancato
Comuni confinanti,"Aliano (MT), Colobraro (MT), Roccanova, Senise, Stigliano (MT), Tursi (MT)"
Altre informazioni,Altre informazioni
Cod. postale,85037
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076080
Cod. catastale,I305
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 614 GG[3]"
Nome abitanti,santarcangiolesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Sant'Arcangelo,Sant'Arcangelo
Sant'Arcangelo – MappaPosizione del comune di Sant'Arcangelo all'interno della provincia di Potenza,Sant'Arcangelo – MappaPosizione del comune di Sant'Arcangelo all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
