Francavilla in Sinni comune,Francavilla in Sinni comune.1
,
Francavilla in Sinni – Veduta,Francavilla in Sinni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Romano Cupparo (lista civica Insieme per Francavilla) dal 21-9-2020
Territorio,Territorio
Coordinate,40°05′N 16°12′E
Altitudine,421 m s.l.m.
Superficie,"46,82 km²"
Abitanti,3 826[1] (30-11-2025)
Densità,"81,72 ab./km²"
Comuni confinanti,"Chiaromonte, Fardella, San Severino Lucano, Terranova di Pollino, San Costantino Albanese"
Altre informazioni,Altre informazioni
Cod. postale,85034
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076034
Cod. catastale,D766
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 674 GG[3]"
Nome abitanti,francavillesi
Patrono,san Felice e san Policarpo
Giorno festivo,10 agosto
Cartografia,Cartografia
Francavilla in Sinni,Francavilla in Sinni
Francavilla in Sinni – MappaPosizione del comune di Francavilla in Sinni all'interno della provincia di Potenza,Francavilla in Sinni – MappaPosizione del comune di Francavilla in Sinni all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
