Tito comune,Tito comune.1
,
Tito – Veduta,Tito – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Fabio Laurino (lista civica Tito+avanti) dal 9-6-2024
Territorio,Territorio
Coordinate,40°35′N 15°41′E
Altitudine,650 m s.l.m.
Superficie,"71,27[1] km²"
Abitanti,7 008[2] (30-11-2025)
Densità,"98,33 ab./km²"
Frazioni,"Frascheto, Radolena, Rione Mancusi, Tito Scalo"
Comuni confinanti,"Abriola, Picerno, Pignola, Potenza, Sant'Angelo Le Fratte, Sasso di Castalda, Satriano di Lucania, Savoia di Lucania"
Altre informazioni,Altre informazioni
Cod. postale,85050
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076089
Cod. catastale,L181
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 2 091 GG[4]"
Nome abitanti,titesi
Patrono,san Laviero Protomartire
Giorno festivo,7 settembre e 17 novembre
Cartografia,Cartografia
Tito,Tito
Tito – MappaPosizione del comune di Tito all'interno della provincia di Potenza,Tito – MappaPosizione del comune di Tito all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
