Bella comune,Bella comune.1
,
Bella – Veduta,Bella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Leonardo Sabato (liste civiche di centro-sinistra) dal 12-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°46′N 15°32′E
Altitudine,662 m s.l.m.
Superficie,"99,71 km²"
Abitanti,4 532[1] (30-11-2025)
Densità,"45,45 ab./km²"
Frazioni,"Frazioni: Scalo Bella-Muro, Re Pupillo, San Cataldo, Sant'Antonio Casalini. Località: Bagni di San Cataldo, Braida, Carlotta, Case sparse, Castelluccio, Martiniglio, Pietra Scritta, Poggiolungo, San Cataldo Zippariello, Sant'Antonio Casalini Vecchio, Lagarelli, Terre Nuove, Valle della Pietra."
Comuni confinanti,"Atella, Avigliano, Balvano, Baragiano, Muro Lucano, Ruoti, San Fele"
Altre informazioni,Altre informazioni
Cod. postale,85051 85021 (San Cataldo)
Prefisso,0976
Fuso orario,UTC+1
Codice ISTAT,076012
Cod. catastale,A743
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 127 GG[3]"
Nome abitanti,"bellesi, (in dialetto) labbeggesi"
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Bella,Bella
Bella – Mappa,Bella – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
