Campomaggiore comune,Campomaggiore comune.1
,
Campomaggiore – VedutaCampomaggiore Vecchia,Campomaggiore – VedutaCampomaggiore Vecchia
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Nicola Blasi (lista civica Impegno per Campomaggiore) dal 4-10-2021
Territorio,Territorio
Coordinate,40°33′57.24″N 16°04′21″E
Altitudine,795 m s.l.m.
Superficie,"12,48 km²"
Abitanti,692[1] (30-11-2025)
Densità,"55,45 ab./km²"
Comuni confinanti,"Accettura (MT), Albano di Lucania, Calciano (MT), Pietrapertosa"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076017
Cod. catastale,B549
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 355 GG[3]"
Nome abitanti,campomaggioresi
Patrono,Beata Vergine Maria del Monte Carmelo
Giorno festivo,16 luglio
Cartografia,Cartografia
Campomaggiore,Campomaggiore
Campomaggiore – MappaPosizione del comune di Campomaggiore all'interno della provincia di Potenza,Campomaggiore – MappaPosizione del comune di Campomaggiore all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
