Sasso di Castalda comune,Sasso di Castalda comune.1
,
Sasso di Castalda – Veduta,Sasso di Castalda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Rocchino Nardo (lista civica Orizzonti sassesi) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,40°29′N 15°41′E
Altitudine,949 m s.l.m.
Superficie,"45,43[1] km²"
Abitanti,721[2] (30-11-2025)
Densità,"15,87 ab./km²"
Comuni confinanti,"Abriola, Brienza, Marsico Nuovo, Satriano di Lucania, Tito"
Altre informazioni,Altre informazioni
Cod. postale,85050
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,076082
Cod. catastale,I457
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 635 GG[4]"
Nome abitanti,sassesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Sasso di Castalda,Sasso di Castalda
Sasso di Castalda – MappaPosizione del comune di Sasso di Castalda all'interno della provincia di Potenza,Sasso di Castalda – MappaPosizione del comune di Sasso di Castalda all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
