Marsicovetere comune,Marsicovetere comune.1
,
Marsicovetere – VedutaVeduta panoramica di Marsicovetere,Marsicovetere – VedutaVeduta panoramica di Marsicovetere
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Marco Zipparri (lista civica Ancora Marsicovetere) dal 10-6-2024
Territorio,Territorio
Coordinate,40°22′28″N 15°49′34″E
Altitudine,1 037[1] m s.l.m.
Superficie,"38,01 km²"
Abitanti,5 677[2] (30-11-2025)
Densità,"149,36 ab./km²"
Frazioni,"Arbusto, Arenara, Barricelle, Capizzo, Chiuppo, Cultura, Pedali, Villa d'Agri[3]"
Comuni confinanti,"Calvello, Grumento Nova, Marsico Nuovo, Paterno, Tramutola, Viggiano[4]"
Altre informazioni,Altre informazioni
Cod. postale,85050
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,076046
Cod. catastale,E977
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[5]
Cl. climatica,"zona E, 2 801 GG[6]"
Nome abitanti,marsicoveteresi
Patrono,san Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Marsicovetere,Marsicovetere
Marsicovetere – MappaPosizione del comune di Marsicovetere all'interno della provincia di Potenza,Marsicovetere – MappaPosizione del comune di Marsicovetere all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
