Baragiano comune,Baragiano comune.1
,
Baragiano – Veduta,Baragiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Giuseppe Fernando Galizia (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,40°40′47.15″N 15°35′37.75″E
Altitudine,625 m s.l.m.
Superficie,"29,6 km²"
Abitanti,2 475[1] (30-11-2025)
Densità,"83,61 ab./km²"
Frazioni,"Baragiano Scalo, Franciosa, Gliubizzi Nocenzullo, Martino Nero, San Giorgio Isca della Botte, Serra di Plinio"
Comuni confinanti,"Balvano, Bella, Picerno, Ruoti"
Altre informazioni,Altre informazioni
Cod. postale,85050
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076010
Cod. catastale,A615
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 046 GG[3]"
Nome abitanti,baragianesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Baragiano,Baragiano
Baragiano – MappaPosizione del comune di Baragiano all'interno della provincia di Potenza,Baragiano – MappaPosizione del comune di Baragiano all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
