Tramutola comune,Tramutola comune.1
,
Tramutola – Veduta,Tramutola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,"Luigi Marotta (lista civica Tramutola ""Nova"") dal 4-10-2021"
Territorio,Territorio
Coordinate,40°19′N 15°47′E
Altitudine,650 m s.l.m.
Superficie,"36,65 km²"
Abitanti,2 821[1] (30-11-2025)
Densità,"76,97 ab./km²"
Comuni confinanti,"Grumento Nova, Marsicovetere, Moliterno, Montesano sulla Marcellana (SA), Padula (SA), Paterno"
Altre informazioni,Altre informazioni
Cod. postale,85057
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,076091
Cod. catastale,L326
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 091 GG[3]"
Nome abitanti,tramutolesi
Patrono,Madonna dei Miracoli
Giorno festivo,17 maggio
Cartografia,Cartografia
Tramutola,Tramutola
Tramutola – MappaPosizione del comune di Tramutola all'interno della provincia di Potenza,Tramutola – MappaPosizione del comune di Tramutola all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
