Pietragalla comune,Pietragalla comune.1
,
Pietragalla – Veduta,Pietragalla – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Paolo Cillis (lista civica Pietragalla bene comune) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°45′N 15°53′E
Altitudine,839 m s.l.m.
Superficie,"66,1 km²"
Abitanti,3 745[1] (30-11-2025)
Densità,"56,66 ab./km²"
Frazioni,San Giorgio
Comuni confinanti,"Acerenza, Avigliano, Cancellara, Forenza, Potenza, Vaglio Basilicata"
Altre informazioni,Altre informazioni
Cod. postale,"85016, 85020"
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076060
Cod. catastale,G616
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 435 GG[3]"
Nome abitanti,pietragallesi
Patrono,san Teodosio
Giorno festivo,10 maggio
Cartografia,Cartografia
Pietragalla,Pietragalla
Pietragalla – MappaPosizione del comune di Pietragalla all'interno della provincia di Potenza,Pietragalla – MappaPosizione del comune di Pietragalla all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
