Atella comune,Atella comune.1
,
Atella – VedutaMura di Atella (Porta San Michele),Atella – VedutaMura di Atella (Porta San Michele)
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Giuseppe Donato Telesca (Costruiamo il domani) dal 26-5-2025[1]
Territorio,Territorio
Coordinate,40°52′N 15°39′E
Altitudine,500 m s.l.m.
Superficie,"88,48 km²"
Abitanti,3 574[2] (30-11-2025)
Densità,"40,39 ab./km²"
Frazioni,"Monticchio Laghi, Montesirico, Sant'Andrea, Sant'Ilario, Contrada Berardi, Contrada Casale Di Sotto, Contrada Case Nuove, Contrada Catena, Contrada Miracolo, Contrada Spineta, Santa Maria Degli Angeli"
Comuni confinanti,"Avigliano, Bella, Calitri (AV), Filiano, Rionero in Vulture, Ripacandida, Ruvo del Monte, San Fele"
Altre informazioni,Altre informazioni
Cod. postale,85020
Prefisso,0972
Fuso orario,UTC+1
Codice ISTAT,076006
Cod. catastale,A482
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 818 GG[4]"
Nome abitanti,atellani
Patrono,Santa Maria ad Nives
Giorno festivo,5 agosto
Cartografia,Cartografia
Atella,Atella
Atella – MappaPosizione del comune di Atella all'interno della provincia di Potenza,Atella – MappaPosizione del comune di Atella all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
