Genzano di Lucania comune,Genzano di Lucania comune.1
,
Genzano di Lucania – Veduta,Genzano di Lucania – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Viviana Cervellino (lista civica Progetto democratico per Genzano) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,40°51′N 16°02′E
Altitudine,587 m s.l.m.
Superficie,"208,93 km²"
Abitanti,5 039[1] (30-11-2025)
Densità,"24,12 ab./km²"
Comuni confinanti,"Acerenza, Banzi, Gravina in Puglia (BA), Irsina (MT), Oppido Lucano, Palazzo San Gervasio, Poggiorsini (BA), Spinazzola (BT)"
Altre informazioni,Altre informazioni
Cod. postale,85013
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076036
Cod. catastale,D971
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 015 GG[3]"
Nome abitanti,genzanesi
Patrono,sant'Antonio Abate e Madonna delle Grazie
Giorno festivo,17 gennaio e seconda domenica di agosto
Cartografia,Cartografia
Genzano di Lucania,Genzano di Lucania
Genzano di Lucania – MappaPosizione del comune di Genzano di Lucania all'interno della provincia di Potenza,Genzano di Lucania – MappaPosizione del comune di Genzano di Lucania all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
