Cerami comune,Cerami comune.1
,
Cerami – VedutaPanorama di Cerami,Cerami – VedutaPanorama di Cerami
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Silvestro Chiovetta (lista civica Guardiamo oltre - Chiovetta sindaco) dal 10-6-2018
Territorio,Territorio
Coordinate,37°49′N 14°30′E
Altitudine,970 m s.l.m.
Superficie,"95,05 km²"
Abitanti,1 867[1] (30-11-2025)
Densità,"19,64 ab./km²"
Comuni confinanti,"Capizzi (ME), Cesarò (ME), Gagliano Castelferrato, Mistretta (ME), Nicosia, Troina"
Altre informazioni,Altre informazioni
Cod. postale,94010
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086008
Cod. catastale,C480
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 134 GG[3]"
Nome abitanti,ceramesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Cerami,Cerami
Cerami – MappaPosizione del comune di Cerami nel libero consorzio comunale di Enna,Cerami – MappaPosizione del comune di Cerami nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
