Assoro comune,Assoro comune.1
,
Assoro – VedutaPanorama di Assoro da piazza Marconi,Assoro – VedutaPanorama di Assoro da piazza Marconi
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Antonio Licciardo (lista civica) dall'11-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,37°38′N 14°25′E
Altitudine,850 m s.l.m.
Superficie,"112,15 km²"
Abitanti,4 745[1] (30-11-2025)
Densità,"42,31 ab./km²"
Frazioni,San Giorgio
Comuni confinanti,"Agira, Enna, Leonforte, Nissoria, Piazza Armerina, Raddusa (CT), Ramacca (CT), Valguarnera Caropepe"
Altre informazioni,Altre informazioni
Cod. postale,94010
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086003
Cod. catastale,A478
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 952 GG[3]"
Nome abitanti,assorini
Patrono,santa Petronilla
Giorno festivo,31 maggio
Cartografia,Cartografia
Assoro,Assoro
Assoro – MappaPosizione del comune di Assoro nel libero consorzio comunale di Enna,Assoro – MappaPosizione del comune di Assoro nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
