Villarosa comune,Villarosa comune.1
,
Villarosa – Veduta,Villarosa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Francesco Costanza (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,37°35′N 14°10′E
Altitudine,523 m s.l.m.
Superficie,"54,89 km²"
Abitanti,4 266[1] (30-11-2025)
Densità,"77,72 ab./km²"
Frazioni,Villapriolo
Comuni confinanti,"Alimena (PA), Bompietro (PA), Calascibetta, Enna, Santa Caterina Villarmosa (CL)"
Altre informazioni,Altre informazioni
Cod. postale,94028
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086020
Cod. catastale,M011
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 455 GG[3]"
Nome abitanti,villarosani
Patrono,san Giacomo
Giorno festivo,10 agosto
Cartografia,Cartografia
Villarosa,Villarosa
Villarosa – MappaPosizione del comune di Villarosa nel libero consorzio comunale di Enna,Villarosa – MappaPosizione del comune di Villarosa nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
